run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,uniformHigh,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
4,pathologicalBoundary,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
6,skewedHighOpenness,1337,full180,ESTJ,ENTJ-B,false,,50,52.083333333333336,61.111111111111114,47.22222222222222,44.44444444444444,0.5,0.521,0.611,0.472,0.444
13,uniformLow,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
15,skewedHighOpenness,1337,full180,ISFP,INFP-B,false,,50,47.916666666666664,49.30555555555556,50.69444444444444,46.52777777777778,0.5,0.479,0.493,0.507,0.465
17,driftingPattern,1337,full180,ESTP,ENTP-B,false,,50,48.611111111111114,50.69444444444444,47.916666666666664,52.083333333333336,0.5,0.486,0.507,0.479,0.521
19,degenerateSetFewItems,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
26,skewedHighOpenness,1337,full180,ESTP,ENTP-B,false,,50,45.138888888888886,52.083333333333336,44.44444444444444,54.166666666666664,0.5,0.451,0.521,0.444,0.542
31,randomClusters,1337,full180,ISFP,INFP-B,false,,50,49.30555555555556,49.30555555555556,50,47.22222222222222,0.5,0.493,0.493,0.5,0.472
36,gaussianHigh,1337,full180,ISFP,INFP-B,false,,50,47.916666666666664,49.30555555555556,51.388888888888886,48.611111111111114,0.5,0.479,0.493,0.514,0.486
37,gaussianMid,1337,full180,ISFJ,INFJ-B,false,,50,50.69444444444444,47.916666666666664,53.47222222222222,47.22222222222222,0.5,0.507,0.479,0.535,0.472
40,uniformLow,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
41,uniformLow,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
42,skewedHighOpenness,1337,full180,ESFP,ENFP-B,false,,50,36.80555555555556,54.166666666666664,58.333333333333336,58.333333333333336,0.5,0.368,0.542,0.583,0.583
