run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,gaussianMid,1337,smart30,ENFP,ENFP-B,true,,62.5,29.166666666666664,58.333333333333336,54.166666666666664,45.833333333333336,0.625,0.292,0.583,0.542,0.458
2,randomClusters,1337,smart30,ISTP,ISTP-S,true,,8.333333333333332,33.333333333333336,12.5,25,4.166666666666669,0.083,0.333,0.125,0.25,0.042
3,degenerateSetFewItems,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
4,boundaryBounce,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
5,pathologicalBoundary,1337,smart30,ESFJ,ESFJ-B,true,,50,50,100,50,50,0.5,0.5,1,0.5,0.5
6,randomClusters,1337,smart30,ENTP,ENTP-S,true,,62.5,16.666666666666668,50,33.333333333333336,25,0.625,0.167,0.5,0.333,0.25
7,driftingPattern,1337,smart30,ENTJ,ENTJ-S,true,,91.66666666666667,70.83333333333334,54.166666666666664,33.333333333333336,16.666666666666668,0.917,0.708,0.542,0.333,0.167
8,noiseClusterHigh,1337,smart30,ENFJ,ENFJ-S,true,,91.66666666666667,95.83333333333333,100,95.83333333333333,79.16666666666667,0.917,0.958,1,0.958,0.792
9,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
10,degenerateSetFewItems,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
11,entropyChaos,1337,smart30,ESFP,ESFP-B,true,,0,33.333333333333336,100,83.33333333333333,62.5,0,0.333,1,0.833,0.625
12,gaussianHigh,1337,smart30,ENFJ,ENFJ-S,true,,87.5,87.5,91.66666666666667,79.16666666666667,75,0.875,0.875,0.917,0.792,0.75
13,adversarialSymmetry,1337,smart30,ISFJ,ISFJ-B,true,,41.666666666666664,58.333333333333336,45.833333333333336,54.166666666666664,50,0.417,0.583,0.458,0.542,0.5
14,entropyChaos,1337,smart30,ESFP,ESFP-B,true,,0,33.333333333333336,100,62.5,37.5,0,0.333,1,0.625,0.375
15,skewedHighOpenness,1337,smart30,ENTP,ENTP-B,true,,100,33.333333333333336,66.66666666666666,41.666666666666664,62.5,1,0.333,0.667,0.417,0.625
16,gaussianLow,1337,smart30,ISTP,ISTP-S,true,,12.5,8.333333333333332,12.5,8.333333333333332,8.333333333333332,0.125,0.083,0.125,0.083,0.083
