run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,triangularDistribution,1337,full180,ESTJ,ESTJ-B,true,,46.52777777777778,50.69444444444444,50.69444444444444,48.611111111111114,50,0.465,0.507,0.507,0.486,0.5
2,uniformHigh,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
3,degenerateSetFewItems,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
4,uniformLow,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
5,gaussianMid,1337,full180,ENTP,ENTP-B,true,,50,45.833333333333336,58.333333333333336,40.97222222222222,48.611111111111114,0.5,0.458,0.583,0.41,0.486
6,gaussianLow,1337,full180,ENFP,ENFP-B,true,,51.388888888888886,46.52777777777778,51.388888888888886,51.388888888888886,47.916666666666664,0.514,0.465,0.514,0.514,0.479
7,uniformLow,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
8,noiseClusterHigh,1337,full180,ESFJ,ESFJ-B,true,,49.30555555555556,50,51.388888888888886,50,48.611111111111114,0.493,0.5,0.514,0.5,0.486
9,pathologicalBoundary,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
10,driftingPattern,1337,full180,INTJ,INTJ-B,true,,51.388888888888886,50.69444444444444,48.611111111111114,49.30555555555556,47.916666666666664,0.514,0.507,0.486,0.493,0.479
11,driftingPattern,1337,full180,ESFJ,ESFJ-B,true,,47.22222222222222,50,51.388888888888886,52.083333333333336,48.611111111111114,0.472,0.5,0.514,0.521,0.486
12,triangularDistribution,1337,full180,ESTJ,ESTJ-B,true,,43.75,55.55555555555556,56.94444444444444,43.05555555555556,53.47222222222222,0.438,0.556,0.569,0.431,0.535
13,blockExtremes,1337,full180,ISFJ,ISFJ-B,true,,47.22222222222222,58.333333333333336,36.111111111111114,61.111111111111114,50,0.472,0.583,0.361,0.611,0.5
14,boundaryBounce,1337,full180,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
15,alternating,1337,full180,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
16,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
17,deliberateNoise,1337,full180,ENFP,ENFP-B,true,,50,39.583333333333336,54.861111111111114,50,47.916666666666664,0.5,0.396,0.549,0.5,0.479
18,entropyChaos,1337,full180,ESTJ,ESTJ-B,true,,47.22222222222222,50.69444444444444,52.77777777777778,43.05555555555556,50.69444444444444,0.472,0.507,0.528,0.431,0.507
19,alternating,1337,full180,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
20,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
21,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
22,deliberateNoise,1337,full180,ISFJ,ISFJ-B,true,,46.52777777777778,55.55555555555556,47.22222222222222,63.19444444444444,56.25,0.465,0.556,0.472,0.632,0.562
23,noiseClusterHigh,1337,full180,ENFP,ENFP-B,true,,50.69444444444444,49.30555555555556,53.47222222222222,51.388888888888886,50,0.507,0.493,0.535,0.514,0.5
24,noiseClusterHigh,1337,full180,INTP,INTP-B,true,,50.69444444444444,49.30555555555556,47.916666666666664,48.611111111111114,48.611111111111114,0.507,0.493,0.479,0.486,0.486
25,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
26,pathologicalBoundary,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
27,noiseClusterLow,1337,full180,INFP,INFP-B,true,,50,45.138888888888886,48.611111111111114,52.083333333333336,45.833333333333336,0.5,0.451,0.486,0.521,0.458
28,degenerateSetFewItems,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
29,noiseClusterHigh,1337,full180,ESTJ,ESTJ-B,true,,49.30555555555556,51.388888888888886,50.69444444444444,47.22222222222222,49.30555555555556,0.493,0.514,0.507,0.472,0.493
30,pathologicalBoundary,1337,full180,ENFJ,ENFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
