run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,blockExtremes,1337,smart30,ESTJ,ESTJ-B,true,,16.666666666666668,83.33333333333333,50,33.333333333333336,50,0.167,0.833,0.5,0.333,0.5
2,syntheticPersonaSeed,1337,smart30,INTJ,INTJ-S,true,,87.5,95.83333333333333,45.833333333333336,45.833333333333336,20.833333333333332,0.875,0.958,0.458,0.458,0.208
3,gaussianLow,1337,smart30,ISTP,ISTP-S,true,,12.5,20.833333333333332,16.666666666666668,12.5,20.833333333333332,0.125,0.208,0.167,0.125,0.208
4,noiseClusterLow,1337,smart30,ISTP,ISTP-S,true,,16.666666666666668,12.5,8.333333333333332,12.5,4.166666666666669,0.167,0.125,0.083,0.125,0.042
5,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
6,skewedHighOpenness,1337,smart30,ENTJ,ENTJ-S,true,,100,54.166666666666664,58.333333333333336,45.833333333333336,29.166666666666664,1,0.542,0.583,0.458,0.292
7,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
8,syntheticPersonaSeed,1337,smart30,INTJ,INTJ-S,true,,75,87.5,37.5,16.666666666666668,8.333333333333332,0.75,0.875,0.375,0.167,0.083
9,degenerateSetFewItems,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
10,adversarialSymmetry,1337,smart30,ISFJ,ISFJ-B,true,,41.666666666666664,58.333333333333336,45.833333333333336,54.166666666666664,50,0.417,0.583,0.458,0.542,0.5
11,uniformMid,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
12,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
13,mirrorPattern,1337,smart30,ENTP,ENTP-B,true,,58.333333333333336,29.166666666666664,75,29.166666666666664,58.333333333333336,0.583,0.292,0.75,0.292,0.583
14,driftingPattern,1337,smart30,ENTJ,ENTJ-S,true,,91.66666666666667,70.83333333333334,54.166666666666664,29.166666666666664,16.666666666666668,0.917,0.708,0.542,0.292,0.167
15,triangularDistribution,1337,smart30,ENTJ,ENTJ-B,true,,58.333333333333336,62.5,54.166666666666664,45.833333333333336,62.5,0.583,0.625,0.542,0.458,0.625
