run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,gaussianMid,1337,full180,ENFJ,ENFJ-B,true,,51.388888888888886,50,59.02777777777778,55.55555555555556,49.30555555555556,0.514,0.5,0.59,0.556,0.493
2,gaussianMid,1337,full180,ESTP,ESTP-B,true,,47.916666666666664,43.75,50,46.52777777777778,50.69444444444444,0.479,0.438,0.5,0.465,0.507
3,noiseClusterHigh,1337,full180,ENTP,ENTP-B,true,,52.77777777777778,49.30555555555556,52.083333333333336,47.916666666666664,49.30555555555556,0.528,0.493,0.521,0.479,0.493
4,adversarialSymmetry,1337,full180,ESTJ,ESTJ-B,true,,47.22222222222222,50,52.083333333333336,46.52777777777778,54.166666666666664,0.472,0.5,0.521,0.465,0.542
5,skewedLowConscientiousness,1337,full180,INTJ,INTJ-B,true,,55.55555555555556,50,41.666666666666664,38.19444444444444,50,0.556,0.5,0.417,0.382,0.5
6,boundaryBounce,1337,full180,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
7,blockExtremes,1337,full180,ENTJ,ENTJ-B,true,,52.77777777777778,50,52.77777777777778,41.666666666666664,63.888888888888886,0.528,0.5,0.528,0.417,0.639
8,uniformMid,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
9,degenerateSetFewItems,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
10,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
11,boundaryBounce,1337,full180,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
12,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
13,adversarialSymmetry,1337,full180,ESTJ,ESTJ-B,true,,47.22222222222222,50,52.083333333333336,46.52777777777778,54.166666666666664,0.472,0.5,0.521,0.465,0.542
14,alternating,1337,full180,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
15,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
16,noiseClusterLow,1337,full180,ISTP,ISTP-B,true,,49.30555555555556,49.30555555555556,48.611111111111114,48.611111111111114,47.22222222222222,0.493,0.493,0.486,0.486,0.472
17,pathologicalBoundary,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
18,triangularDistribution,1337,full180,ESFJ,ESFJ-B,true,,47.916666666666664,50.69444444444444,52.083333333333336,50.69444444444444,52.77777777777778,0.479,0.507,0.521,0.507,0.528
19,mirrorPattern,1337,full180,ESTJ,ESTJ-B,true,,48.611111111111114,50.69444444444444,50,49.30555555555556,51.388888888888886,0.486,0.507,0.5,0.493,0.514
20,mirrorPattern,1337,full180,ESTJ,ESTJ-B,true,,48.611111111111114,50.69444444444444,50,49.30555555555556,51.388888888888886,0.486,0.507,0.5,0.493,0.514
21,adversarialSymmetry,1337,full180,ESTJ,ESTJ-B,true,,47.22222222222222,50,52.083333333333336,46.52777777777778,54.166666666666664,0.472,0.5,0.521,0.465,0.542
22,staircasePartial,1337,full180,ENFP,ENFP-B,true,,50.69444444444444,47.916666666666664,50.69444444444444,51.388888888888886,50.69444444444444,0.507,0.479,0.507,0.514,0.507
23,driftingPattern,1337,full180,INTJ,INTJ-B,true,,52.083333333333336,50.69444444444444,47.916666666666664,48.611111111111114,48.611111111111114,0.521,0.507,0.479,0.486,0.486
24,uniformMid,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
