run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,alternatingClusters,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
2,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
3,alternating,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
4,deliberateNoise,1337,smart30,ISTJ,ISTJ-S,true,,29.166666666666664,70.83333333333334,33.333333333333336,29.166666666666664,8.333333333333332,0.292,0.708,0.333,0.292,0.083
5,pathologicalBoundary,1337,smart30,ESFJ,ESFJ-B,true,,50,50,100,50,50,0.5,0.5,1,0.5,0.5
6,entropyChaos,1337,smart30,ESFP,ESFP-B,true,,0,33.333333333333336,100,62.5,54.166666666666664,0,0.333,1,0.625,0.542
7,noiseClusterLow,1337,smart30,ISTP,ISTP-S,true,,12.5,12.5,12.5,20.833333333333332,16.666666666666668,0.125,0.125,0.125,0.208,0.167
8,pathologicalBoundary,1337,smart30,ESFJ,ESFJ-B,true,,50,50,100,50,50,0.5,0.5,1,0.5,0.5
9,mirrorPattern,1337,smart30,ENTP,ENTP-B,true,,58.333333333333336,29.166666666666664,75,29.166666666666664,58.333333333333336,0.583,0.292,0.75,0.292,0.583
10,adversarialSymmetry,1337,smart30,ISFJ,ISFJ-B,true,,41.666666666666664,58.333333333333336,45.833333333333336,54.166666666666664,50,0.417,0.583,0.458,0.542,0.5
11,pathologicalBoundary,1337,smart30,ESFJ,ESFJ-B,true,,50,50,100,50,50,0.5,0.5,1,0.5,0.5
12,noiseClusterLow,1337,smart30,ISTP,ISTP-S,true,,12.5,8.333333333333332,8.333333333333332,12.5,12.5,0.125,0.083,0.083,0.125,0.125
13,triangularDistribution,1337,smart30,ENTP,ENTP-B,true,,66.66666666666666,37.5,58.333333333333336,29.166666666666664,54.166666666666664,0.667,0.375,0.583,0.292,0.542
14,gaussianHigh,1337,smart30,ENFJ,ENFJ-S,true,,83.33333333333333,87.5,83.33333333333333,91.66666666666667,87.5,0.833,0.875,0.833,0.917,0.875
15,uniformMid,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
16,uniformMid,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
17,syntheticPersonaSeed,1337,smart30,ENFJ,ENFJ-S,true,,87.5,91.66666666666667,50,58.333333333333336,0,0.875,0.917,0.5,0.583,0
18,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
19,alternating,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
20,blockExtremes,1337,smart30,ENFP,ENFP-B,true,,66.66666666666666,33.333333333333336,66.66666666666666,50,50,0.667,0.333,0.667,0.5,0.5
21,boundaryBounce,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
