run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,driftingPattern,1337,full180,ESFJ,ESFJ-B,true,,49.30555555555556,50,50.69444444444444,50,53.47222222222222,0.493,0.5,0.507,0.5,0.535
2,entropyChaos,1337,full180,ESTJ,ESTJ-B,true,,45.833333333333336,50,51.388888888888886,48.611111111111114,50.69444444444444,0.458,0.5,0.514,0.486,0.507
3,mirrorPattern,1337,full180,ESTJ,ESTJ-B,true,,48.611111111111114,50.69444444444444,50,49.30555555555556,51.388888888888886,0.486,0.507,0.5,0.493,0.514
4,syntheticPersonaSeed,1337,full180,INTP,INTP-B,true,,50.69444444444444,49.30555555555556,45.833333333333336,48.611111111111114,56.25,0.507,0.493,0.458,0.486,0.562
5,degenerateSetFewItems,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
6,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
7,pathologicalBoundary,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
8,pathologicalBoundary,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
9,deliberateNoise,1337,full180,ESTP,ESTP-B,true,,47.22222222222222,45.138888888888886,51.388888888888886,36.80555555555556,49.30555555555556,0.472,0.451,0.514,0.368,0.493
10,syntheticPersonaSeed,1337,full180,ENFP,ENFP-B,true,,52.77777777777778,49.30555555555556,51.388888888888886,52.083333333333336,48.611111111111114,0.528,0.493,0.514,0.521,0.486
11,driftingPattern,1337,full180,ENTP,ENTP-B,true,,51.388888888888886,48.611111111111114,50,47.916666666666664,50,0.514,0.486,0.5,0.479,0.5
12,pathologicalBoundary,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
13,gaussianHigh,1337,full180,ESFJ,ESFJ-B,true,,47.916666666666664,54.166666666666664,54.861111111111114,53.47222222222222,49.30555555555556,0.479,0.542,0.549,0.535,0.493
14,gaussianHigh,1337,full180,ESTJ,ESTJ-B,true,,48.611111111111114,50.69444444444444,52.083333333333336,47.22222222222222,49.30555555555556,0.486,0.507,0.521,0.472,0.493
15,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
16,alternatingClusters,1337,full180,ISTP,ISTP-S,true,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336,0.333,0.333,0.333,0.333,0.333
17,noiseClusterLow,1337,full180,ISTP,ISTP-B,true,,49.30555555555556,47.916666666666664,49.30555555555556,47.916666666666664,50.69444444444444,0.493,0.479,0.493,0.479,0.507
18,mirrorPattern,1337,full180,ESTJ,ESTJ-B,true,,48.611111111111114,50.69444444444444,50,49.30555555555556,51.388888888888886,0.486,0.507,0.5,0.493,0.514
19,pathologicalBoundary,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
20,syntheticPersonaSeed,1337,full180,ENFP,ENFP-B,true,,50.69444444444444,49.30555555555556,50.69444444444444,50,56.94444444444444,0.507,0.493,0.507,0.5,0.569
21,staircasePartial,1337,full180,ENFP,ENFP-B,true,,50.69444444444444,47.916666666666664,50.69444444444444,51.388888888888886,50.69444444444444,0.507,0.479,0.507,0.514,0.507
22,mirrorPattern,1337,full180,ESTJ,ESTJ-B,true,,48.611111111111114,50.69444444444444,50,49.30555555555556,51.388888888888886,0.486,0.507,0.5,0.493,0.514
23,noiseClusterHigh,1337,full180,ENTJ,ENTJ-B,true,,50.69444444444444,56.25,52.083333333333336,48.611111111111114,47.22222222222222,0.507,0.562,0.521,0.486,0.472
24,noiseClusterLow,1337,full180,ENFJ,ENFJ-B,true,,52.083333333333336,50.69444444444444,52.083333333333336,50.69444444444444,51.388888888888886,0.521,0.507,0.521,0.507,0.514
25,skewedHighOpenness,1337,full180,ESTJ,ENTJ-B,false,,50,52.083333333333336,59.02777777777778,46.52777777777778,50.69444444444444,0.5,0.521,0.59,0.465,0.507
26,alternating,1337,full180,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
27,uniformLow,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
28,skewedLowConscientiousness,1337,full180,ISFJ,ISFJ-B,true,,48.611111111111114,50,49.30555555555556,55.55555555555556,45.833333333333336,0.486,0.5,0.493,0.556,0.458
29,syntheticPersonaSeed,1337,full180,ISFJ,ISFJ-B,true,,43.75,50,46.52777777777778,52.083333333333336,50,0.438,0.5,0.465,0.521,0.5
30,degenerateSetFewItems,1337,full180,ESFJ,ENFJ-B,false,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
31,syntheticPersonaSeed,1337,full180,ESTP,ESTP-B,true,,46.52777777777778,47.22222222222222,53.47222222222222,45.138888888888886,52.083333333333336,0.465,0.472,0.535,0.451,0.521
