run_id,pattern_type,seed,question_set,persona_ts,persona_py,match,error,ocean_ts_O,ocean_ts_C,ocean_ts_E,ocean_ts_A,ocean_ts_N,ocean_py_O,ocean_py_C,ocean_py_E,ocean_py_A,ocean_py_N
1,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
2,skewedLowConscientiousness,1337,smart30,ISFP,ISFP-B,true,,37.5,0,33.333333333333336,62.5,54.166666666666664,0.375,0,0.333,0.625,0.542
3,staircasePartial,1337,smart30,ESFP,ESFP-S,true,,4.166666666666669,33.333333333333336,62.5,91.66666666666667,16.666666666666668,0.042,0.333,0.625,0.917,0.167
4,gaussianLow,1337,smart30,ISTP,ISTP-S,true,,4.166666666666669,16.666666666666668,16.666666666666668,16.666666666666668,8.333333333333332,0.042,0.167,0.167,0.167,0.083
5,mirrorPattern,1337,smart30,ENTP,ENTP-B,true,,58.333333333333336,29.166666666666664,75,29.166666666666664,58.333333333333336,0.583,0.292,0.75,0.292,0.583
6,driftingPattern,1337,smart30,INTJ,INTJ-S,true,,91.66666666666667,75,45.833333333333336,33.333333333333336,12.5,0.917,0.75,0.458,0.333,0.125
7,skewedHighOpenness,1337,smart30,ENTJ,ENTJ-S,true,,100,66.66666666666666,79.16666666666667,33.333333333333336,70.83333333333334,1,0.667,0.792,0.333,0.708
8,gaussianMid,1337,smart30,ESTJ,ESTJ-S,true,,45.833333333333336,54.166666666666664,66.66666666666666,41.666666666666664,66.66666666666666,0.458,0.542,0.667,0.417,0.667
9,blockExtremes,1337,smart30,ESFJ,ESFJ-B,true,,16.666666666666668,50,50,50,50,0.167,0.5,0.5,0.5,0.5
10,skewedHighOpenness,1337,smart30,ENTJ,ENTJ-B,true,,100,62.5,66.66666666666666,45.833333333333336,37.5,1,0.625,0.667,0.458,0.375
11,boundaryBounce,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
12,gaussianLow,1337,smart30,ISTP,ISTP-S,true,,12.5,8.333333333333332,12.5,16.666666666666668,16.666666666666668,0.125,0.083,0.125,0.167,0.167
13,staircasePartial,1337,smart30,ESFP,ESFP-S,true,,4.166666666666669,33.333333333333336,62.5,91.66666666666667,16.666666666666668,0.042,0.333,0.625,0.917,0.167
14,uniformLow,1337,smart30,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
15,gaussianMid,1337,smart30,ESTP,ESTP-B,true,,41.666666666666664,41.666666666666664,50,41.666666666666664,41.666666666666664,0.417,0.417,0.5,0.417,0.417
16,randomClusters,1337,smart30,INTJ,INTJ-S,true,,100,66.66666666666666,25,16.666666666666668,83.33333333333333,1,0.667,0.25,0.167,0.833
17,gaussianHigh,1337,smart30,ENFJ,ENFJ-S,true,,83.33333333333333,83.33333333333333,91.66666666666667,95.83333333333333,91.66666666666667,0.833,0.833,0.917,0.958,0.917
18,staircasePartial,1337,smart30,ESFP,ESFP-S,true,,4.166666666666669,33.333333333333336,62.5,91.66666666666667,16.666666666666668,0.042,0.333,0.625,0.917,0.167
19,degenerateSetFewItems,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
20,staircasePartial,1337,smart30,ESFP,ESFP-S,true,,4.166666666666669,33.333333333333336,62.5,91.66666666666667,16.666666666666668,0.042,0.333,0.625,0.917,0.167
21,syntheticPersonaSeed,1337,smart30,ENFJ,ENFJ-S,true,,91.66666666666667,83.33333333333333,50,54.166666666666664,16.666666666666668,0.917,0.833,0.5,0.542,0.167
22,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
23,skewedHighOpenness,1337,smart30,ENFJ,ENFJ-B,true,,100,50,50,50,50,1,0.5,0.5,0.5,0.5
24,noiseClusterLow,1337,smart30,ISTP,ISTP-S,true,,16.666666666666668,4.166666666666669,4.166666666666669,16.666666666666668,20.833333333333332,0.167,0.042,0.042,0.167,0.208
25,adversarialSymmetry,1337,smart30,ISFJ,ISFJ-B,true,,41.666666666666664,58.333333333333336,45.833333333333336,54.166666666666664,50,0.417,0.583,0.458,0.542,0.5
26,alternatingClusters,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
27,noiseClusterLow,1337,smart30,ISTP,ISTP-S,true,,16.666666666666668,4.166666666666669,20.833333333333332,16.666666666666668,4.166666666666669,0.167,0.042,0.208,0.167,0.042
28,uniformMid,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
29,triangularDistribution,1337,smart30,ENFJ,ENFJ-B,true,,62.5,54.166666666666664,54.166666666666664,70.83333333333334,62.5,0.625,0.542,0.542,0.708,0.625
30,blockExtremes,1337,smart30,ISFJ,ISFJ-S,true,,33.333333333333336,50,33.333333333333336,50,33.333333333333336,0.333,0.5,0.333,0.5,0.333
31,skewedHighOpenness,1337,smart30,INFJ,INFJ-B,true,,100,50,37.5,54.166666666666664,37.5,1,0.5,0.375,0.542,0.375
32,mirrorPattern,1337,smart30,ENTP,ENTP-B,true,,58.333333333333336,29.166666666666664,75,29.166666666666664,58.333333333333336,0.583,0.292,0.75,0.292,0.583
33,uniformLow,1337,smart30,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
34,staircasePartial,1337,smart30,ESFP,ESFP-S,true,,4.166666666666669,33.333333333333336,62.5,91.66666666666667,16.666666666666668,0.042,0.333,0.625,0.917,0.167
35,gaussianMid,1337,smart30,ENFJ,ENFJ-B,true,,54.166666666666664,50,62.5,50,58.333333333333336,0.542,0.5,0.625,0.5,0.583
36,noiseClusterLow,1337,smart30,ISTP,ISTP-S,true,,16.666666666666668,8.333333333333332,16.666666666666668,12.5,8.333333333333332,0.167,0.083,0.167,0.125,0.083
37,gaussianMid,1337,smart30,ISFP,ISFP-B,true,,50,45.833333333333336,37.5,50,41.666666666666664,0.5,0.458,0.375,0.5,0.417
38,skewedHighOpenness,1337,smart30,ENFP,ENFP-S,true,,100,41.666666666666664,50,50,66.66666666666666,1,0.417,0.5,0.5,0.667
39,boundaryBounce,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
40,skewedLowConscientiousness,1337,smart30,ESFP,ESFP-S,true,,37.5,0,66.66666666666666,50,33.333333333333336,0.375,0,0.667,0.5,0.333
41,degenerateSetFewItems,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
42,gaussianLow,1337,smart30,ISTP,ISTP-S,true,,12.5,4.166666666666669,8.333333333333332,8.333333333333332,12.5,0.125,0.042,0.083,0.083,0.125
43,deliberateNoise,1337,smart30,INFJ,INFJ-B,true,,66.66666666666666,70.83333333333334,25,54.166666666666664,50,0.667,0.708,0.25,0.542,0.5
44,driftingPattern,1337,smart30,INTJ,INTJ-S,true,,91.66666666666667,75,45.833333333333336,29.166666666666664,0,0.917,0.75,0.458,0.292,0
45,mirrorPattern,1337,smart30,ENTP,ENTP-B,true,,58.333333333333336,29.166666666666664,75,29.166666666666664,58.333333333333336,0.583,0.292,0.75,0.292,0.583
46,degenerateSetFewItems,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
47,noiseClusterLow,1337,smart30,ISTP,ISTP-S,true,,8.333333333333332,12.5,4.166666666666669,12.5,12.5,0.083,0.125,0.042,0.125,0.125
48,uniformLow,1337,smart30,ISTP,ISTP-S,true,,0,0,0,0,0,0,0,0,0,0
49,gaussianHigh,1337,smart30,ENFJ,ENFJ-S,true,,75,91.66666666666667,87.5,91.66666666666667,83.33333333333333,0.75,0.917,0.875,0.917,0.833
50,noiseClusterHigh,1337,smart30,ENFJ,ENFJ-S,true,,83.33333333333333,87.5,91.66666666666667,87.5,79.16666666666667,0.833,0.875,0.917,0.875,0.792
51,triangularDistribution,1337,smart30,ENFP,ENFP-S,true,,70.83333333333334,37.5,50,54.166666666666664,29.166666666666664,0.708,0.375,0.5,0.542,0.292
52,randomClusters,1337,smart30,ENFP,ENFP-S,true,,87.5,25,62.5,100,100,0.875,0.25,0.625,1,1
53,syntheticPersonaSeed,1337,smart30,INTJ,INTJ-S,true,,79.16666666666667,70.83333333333334,45.833333333333336,45.833333333333336,12.5,0.792,0.708,0.458,0.458,0.125
54,uniformHigh,1337,smart30,ENFJ,ENFJ-S,true,,100,100,100,100,100,1,1,1,1,1
55,blockExtremes,1337,smart30,ESFP,ESFP-S,true,,33.333333333333336,33.333333333333336,83.33333333333333,66.66666666666666,16.666666666666668,0.333,0.333,0.833,0.667,0.167
56,alternatingClusters,1337,smart30,ESFJ,ESFJ-B,true,,50,50,50,50,50,0.5,0.5,0.5,0.5,0.5
